"id","name","industry","subindustry","address","street","house_nr","postal_code","city","state","country","phone","skype","url","logo","email"
"10801","Megatrend Group Of Companies","Freight Forwarders",NULL,"13/2 Ulitsa Ordjenikidze,",NULL,NULL,"119071",NULL,NULL,"Moscow City","+7 095 9526829",NULL,NULL,NULL,NULL
"10802","Skat Yeisk Ltd","Freight Forwarders",NULL,"2 Gertsena Street, Yeisk",NULL,NULL,"353680",NULL,NULL,"Krasnodar Krai (Krasnodar)","+7 (86132) 26566",NULL,NULL,NULL,NULL
"10803","Project Trans","Freight Forwarders",NULL,"41, Sabirovskaya Str.,",NULL,NULL,"196602",NULL,NULL,"St. Petersburg","+7 (812) 430 9747",NULL,NULL,NULL,NULL
"10804","Eurotransbroker","Freight Forwarders",NULL,"Ul. Onezhskaya 8/10,",NULL,NULL,"125438",NULL,NULL,"Moscow City","+7 095 363-3541",NULL,NULL,NULL,NULL
"10805","Jerry International Transportation Co., Ltd","Freight Forwarders",NULL,"Rm.2003, 4 No.4 Wei Dong Shang Cheng Building No.12, Nanjing Road, Qingdao, China,"," 4 No.4 Wei Dong Shang Cheng Building No.12,  Nanjing Road,  Qingdao,  China, ","Rm.2003","266002","Qingdao,Shanghai,Beijing,Shenzhen,Guangzhou",NULL,"China","86-532-80628388/89/82/83",NULL,NULL,NULL,NULL
"10806","vita international freight co. Ltd.","Freight Forwarders",NULL,"RM1018-1020 LUSHAN HOTEL CHUNGFENG ROAD SHENZHEN CHINA,",NULL,"RM1018-1020","518000","SHENZHEN",NULL,"China","86 755 82171926",NULL,NULL,NULL,NULL
"10807","Royaline Logistics Co Ltd","Freight Forwarders",NULL,"Rm 2105, Global New Times Plaza, 1666 Sichuan Road North",NULL,NULL,"200080",NULL,NULL,"Shanghai","+86-21-60958619",NULL,NULL,NULL,NULL
"10808","Qingdao Run Demao International Trade Co., Ltd.","Freight Forwarders",NULL,"ROOM 1005,YINDU,BUILDING,NO.3016.HONGKONG ROAD,QINGDAO,CHINA,",NULL,NULL,"266000","qingdao",NULL,"qingdao","86-0532-68972814",NULL,NULL,NULL,NULL
"10809","SHENZHEN AQUA MARINE INTERNATIONAL LOGISTICS (AML) CO., LTD.","Freight Forwarders",NULL,"Room 1206,Dongfang Square, No 1072 Jianshe Road, ,Luohu District,","Dongfang Square,  No 1072 Jianshe Road,  , Luohu District, ","Room 1206","518001","LUOHU,SHENZHEN",NULL,"China","86-13632913664, 86-755-25521949",NULL,NULL,NULL,NULL
"10810","BRDTRANS INTERNATIONAL LIMITED","Freight Forwarders",NULL,"NO.239,BULONG ROAD,LONGGANG DISTRICT,SHENZHEN,CHINA,",NULL,NULL,"518000","Longgang",NULL,"China","0086-015323799037",NULL,NULL,NULL,NULL
"10811","Shenzhen TaiZhou Logistics Co.,Ltd","Freight Forwarders",NULL,"Rm 3605-3608, Landmark, No.4028 Jintian Road, Futian District,,"," Landmark,  No.4028 Jintian Road,  Futian District, , ","Rm 3605-3608","518035","Shenzhen,",NULL,"China.","86-755-82789995",NULL,NULL,NULL,NULL
"10812","Longone Group Zhenglin Logistic","Freight Forwarders",NULL,"NO.321 GANGKOU ROAD, XINTANG TOWN, GUANGZHOU,GUANGDONG PROVINCE, P.R.CHINA,",NULL,NULL,"511300","Guangzhou,shenzhen,Hongkong",NULL,"China","8.62062E+11",NULL,NULL,NULL,NULL
"10813","Rulewave International Logistics Co Ltd.","Freight Forwarders",NULL,"Room 20F, JinFu Building No 22 Shandong Qingdao Shandong,"," JinFu Building No 22 Shandong Qingdao Shandong, ","Room 20F","266000","Qingdao",NULL,"China","+86-532-80900855",NULL,NULL,NULL,NULL
"10814","Luckylucky Int'l Freight Forwarding Co.,Ltd.","Freight Forwarders",NULL,"8 Floor,Foreign trade shichu building dongmen road s. , shenzhen china http://www.lliff.com",NULL,NULL,"518001","Luohu district shenzhen",NULL,"China","0086-755-25154959 (20 lines)",NULL,NULL,NULL,NULL
"10815","Ben Orient Lines ::::::: EMES Express","Freight Forwarders",NULL,"Corporate Office (Dhaka) :: House # 423 (3rd Fl), Road # 30, New DOHS, Mohakhali, Dhaka -1206 :::::, Branch Office (Chittagong) :: 1742 Sk. Mujib Road (2nd fl), Agrabad C/A, Chittagong, Bangladesh ::::: C/P : Mr. Moin Siddiqui (C.E.O) ::: Cell Phone - 880 175 151770 ::: E-mail - benorient@dhaka.net ::::: Intl SEA / AIR Freight Forwarding & Shipping",NULL,NULL,NULL,NULL,NULL,"Chittagong","880-2-9881169 , 9893744 [Ext - 120] -",NULL,NULL,NULL,NULL
"10816","Air 7 Sea Serve","Freight Forwarders",NULL,"41/4 Siddeswari Road,",NULL,NULL,"1217",NULL,NULL,"Dhaka","+880 2 9351493",NULL,NULL,NULL,NULL
"10817","Logistic Cargo Services Ltd","Freight Forwarders",NULL,"Sky Lark Point, 8th Floor, Bijoy Nagar",NULL,NULL,"4100",NULL,NULL,"Dhaka","+880-2-8315621",NULL,NULL,NULL,NULL
"10818","Concord Cargo International","Freight Forwarders",NULL,"Faiz Mansion,5th Flr,house-47, Road-17, Banani C/A",NULL,NULL,"1213",NULL,NULL,"Dhaka","(88-02) 8814592,9890717,9894374",NULL,NULL,NULL,NULL
"10819","Saybolt Container Line Ltd.","Freight Forwarders",NULL,"33 Topkhana Road, Meherba Plaza (9th Floor), Dhaka-1000,",NULL,NULL,"1000",NULL,NULL,"Dhaka","880-2-9550654",NULL,NULL,NULL,NULL
"10820","Transportation Logistics Int'l (Bangladesh) Ltd","Freight Forwarders",NULL,"Nascent Tower (6th Floor), 806-A, Agrabad C/A",NULL,NULL,NULL,NULL,NULL,"Chittagong","+88-018-310 798",NULL,NULL,NULL,NULL
"10821","Sailors Shipping Ltd","Freight Forwarders",NULL,"A R Tower (4th Floor), 24 Kemal Ataturk Avenue, Banani",NULL,NULL,"1213",NULL,NULL,"Dhaka","880-2-9884435, 9884438",NULL,NULL,NULL,NULL
"10822","Transasia International Limited","Freight Forwarders",NULL,"122, New Eskaton Road, [2nd Floor]",NULL,NULL,"1000",NULL,NULL,"Dhaka","0088-02-933 5970 / 934 6981-3",NULL,NULL,NULL,NULL
"10823","Accord Express Bangladesh Ltd","Freight Forwarders",NULL,"122, New Eskaton Road, [2nd Floor]",NULL,NULL,"1000",NULL,NULL,"Dhaka","0088-02-933 5970 / 934 6981-3",NULL,NULL,NULL,NULL
"10824","Conveyor Logistics Ltd.","Freight Forwarders",NULL,"57 Kemal Ataturk Avenue, 3rd Floor, Banani C/A, Banani Bazar,",NULL,NULL,"1213",NULL,NULL,"Dhaka","880-2-8811817, 8827723, 8816262, 9889113, 9889115",NULL,NULL,NULL,NULL
"10825","Mirdef Shipping & Cargo","Freight Forwarders",NULL,"POBOX: 14333, DUBAI",NULL,NULL,"14333","DUBAI",NULL,"DUBAI","04-3554497",NULL,NULL,NULL,NULL
"10826","Apple shipping","Freight Forwarders",NULL,"oud mehta, tasheel building",NULL,NULL,"125637","Dubai",NULL,"UAE","97143582555",NULL,NULL,NULL,NULL
"10827","CMG INTERNARTIONAL MOVERS AND CARGO SERVICES LLC","Freight Forwarders",NULL,"OFFICE 3 CONCORDE BUILDING 2 AL DHIYAFA ROAD AL HUDAIBA AREA SATWA DUBAI,",NULL,NULL,"971","DUBAI",NULL,"UAE","43266397",NULL,NULL,NULL,NULL
"10828","CargoGate Middle East LLC","Freight Forwarders",NULL,"Dubai Airport Free Zone, FG5 Dnata Blk E - 105",NULL,NULL,"0","Dubai",NULL,"United Arab Emirates","+971-4-2992202",NULL,NULL,NULL,NULL
"10829","AL WARQA SHIPPING SERVICES LLC","Freight Forwarders",NULL,"#201, P.O BOX: 381201, HUSSAIN NASSER AHMED LOOTAH BLDG",NULL,NULL,"381201","DEIRA",NULL,"UNITED ARAB EMIRATES","00971-4-2217874",NULL,NULL,NULL,NULL
"10830","INTERCON SHIPPING SERVICES LLC","Freight Forwarders",NULL,"KARAMA, DUBAI",NULL,NULL,"123006","DUBAI",NULL,"UAE","97143705500",NULL,NULL,NULL,NULL
"10831","TAD LOGISTICS","Freight Forwarders",NULL,"JEBEL ALI FREEZONE,",NULL,NULL,"262361","DUBAI",NULL,"UAE","552266053",NULL,NULL,NULL,NULL
"10832","SHAMMA SHIPPING DUBAI (UAE) LLC","Freight Forwarders",NULL,"DUBAI,",NULL,NULL,"31303","DUBAI",NULL,"UAE","9.71552E+11",NULL,NULL,NULL,NULL
"10833","Burhani Oasis Shipping LLC","Freight Forwarders",NULL,"P.O.BOX: 376307, Dubai",NULL,NULL,"376307","Dubai",NULL,"UAE","(+971) 4 2347956",NULL,NULL,NULL,NULL
"10834","Negotium (ME) LLC","Freight Forwarders",NULL,"Office court building, 3rd floor",NULL,NULL,"123266","Dubai",NULL,"United Arab Emirates","971-4-3584611",NULL,NULL,NULL,NULL
"10835","Aries Logistics (Pvt) Ltd.","Freight Forwarders",NULL,"C-252 P.E.C.H.S, BLOCK-6 KARACHI, Pakistan",NULL,NULL,"75400","Karachi",NULL,"Sind / Pakistan","+92 (21) 34380601-3, 34391115-7",NULL,NULL,NULL,NULL
"10836","Abbasis International","Freight Forwarders",NULL,"Suite # 518. 5th Floor, Haji Adam Chamber, Altaf Hussain Rd, Karachi, Pakistan.,",NULL,NULL,"74000","Karachi",NULL,"Karachi, Pakistan.","+92 21 32470219",NULL,NULL,NULL,NULL
"10837","Flash cargo services","Freight Forwarders",NULL,"al khari market, M.a.jinnah road",NULL,NULL,"48210","karachi",NULL,"pakistan","9.20301E+12",NULL,NULL,NULL,NULL
"10838","General Maritime Pvt Ltd","Freight Forwarders",NULL,"Suit # 403,404 4th floor Progressive Plaza near PIDC Karachi,",NULL,NULL,"75300","Clifton",NULL,"Sindh","21111403404",NULL,NULL,NULL,NULL
"10839","Orbit Cargo Services Ltd","Freight Forwarders",NULL,"UNIT 11, BALFOUR BUSINESS CENTER",NULL,NULL,"UB2 5PP","SOUTHALL",NULL,"MIDDLESEX","+44 20 8574 3771",NULL,NULL,NULL,NULL
"10840","As Shipping Pakistan","Freight Forwarders",NULL,"Glass Tower 1st Floor Off#48 Karachi Pakistan,",NULL,NULL,"74400","Sindh",NULL,"Pakistan","+923325278652",NULL,NULL,NULL,NULL
"10841","Indus Logistics International","Freight Forwarders",NULL,"B.R.R Tower 14 Floor I.I ChundrGar Road Karachi, B.R.R Tower 14 Floor I.I ChundrGar Road Karachi",NULL,NULL,"74000","Karachi",NULL,"PAKISTAN","0314 9887338",NULL,NULL,NULL,NULL
"10842","MM Shipping & Logistics","Freight Forwarders",NULL,"Office # 02, 1st Floor, Moti wala square Plot No. 23/D, 5th Zamzama Commercial lane, Phase-V, D.H.A, Karachi, Pakistan,",NULL,NULL,"75500","Karachi",NULL,"Pakistan","+92-21-35362115-8",NULL,NULL,NULL,NULL
"10843","SECURITY PACKERS","Freight Forwarders",NULL,"3-A, SITARA PLAZA, DIPLOMATIC ENCLAVE, ISLAMABAD, 2ND FLOOR, DEAN ARCADE, BLOCK 8, SCHEME 5, KEHKASHAN, CLIFTON, KARACHI",NULL,NULL,"75500","KARACHI",NULL,"PAKISTAN","051-2825657",NULL,NULL,NULL,NULL
"10844","Advance Cargo","Freight Forwarders",NULL,"St#1 Office#4, Basement Opp. Suzuki Mini Motor Near 7 UP Stop Ittehad Colony Gulberg III, Lahore – 54810,Pakistan.,",NULL,NULL,"54810","Lahore",NULL,"Pakistan","+923002008544",NULL,NULL,NULL,NULL
"10845","Sea Tranz Logistic Inc.","Freight Forwarders",NULL,"611 MBI Bldg. Sta Cruz Plaza, Sta Cruz ,",NULL,NULL,"1003","Manila",NULL,"Philippines","+632 7080528 / +632 7355056",NULL,NULL,NULL,NULL
"10846","RAISE FREIGHT FORWARDING SERVICES","Freight Forwarders",NULL,"Rm 207 STP Bldg. Marquina St. cor. Dasmarinas St. Binondo, Manila,",NULL,NULL,"1006","Manila",NULL,"Philippines","7082278 / 8061193",NULL,NULL,NULL,NULL
"10847","genesis logistics global services incorporated","Freight Forwarders",NULL,"door 2 lee bldg., hernaez st.ext.",NULL,NULL,"6100","bacolod city",NULL,"negros occidental","034/ 4341664.....09397744342",NULL,NULL,NULL,NULL
"10848","RV FREIGHT AND SERVICES","Freight Forwarders",NULL,"LAPU-LAPU CITY, CEBU",NULL,NULL,"6015","BABAG 1",NULL,"PHILIPPINES","63 32 5122814",NULL,NULL,NULL,NULL
"10849","MC GLOBAL FREIGHT SOLUTIONS INC","Freight Forwarders",NULL,"Rm 503 Burke Building Escolta St. Binondo Manila,",NULL,NULL,"1006","Binondo",NULL,"Philippnes","302-9010 to 11",NULL,NULL,NULL,NULL
"10850","SEA TRANZ LOGISTIC, INC.","Freight Forwarders",NULL,"Rm. 611 Manufcturer's Bldg. Sta. Cruz Plaza, Sta. Cruz,",NULL,NULL,"1003","Manila City",NULL,"Philippines","+6327080528",NULL,NULL,NULL,NULL
"10851","Allegiance Cargo Advantage, Inc. (ACAI)","Freight Forwarders",NULL,"Bldg. 2-B, Sunblest Compound, Km. 23, West Service Road, South Super Highway, Brgy. Cupang,,",NULL,NULL,"1771","Muntinlupa City, M. Mnl.",NULL,"Philippines","632-809997; 8504298; 8423603; 8094938; 8504237; 8421847(DL)",NULL,NULL,NULL,NULL
"10852","Imex Cargo Solutions","Freight Forwarders",NULL,"G/F Venus Dea Bldg., Panaganiban, Cebu City",NULL,NULL,"6000","Cebu City",NULL,"Philippines","+63-32-418-4635",NULL,NULL,NULL,NULL
"10853","MC GLOBAL FREIGHT SOLUTIONS INC","Freight Forwarders",NULL,"Rm 503 Burke Building Escolta St. Binondo, Sta. Cruz, Manila, Philippines",NULL,NULL,"1006","Sta. Cruz",NULL,"Manila, Philippines","(632)302-9010 to 11/ 546-0270/546-0272",NULL,NULL,NULL,NULL
"10854","Sea Dragon Shipping & Logistics, Inc.","Freight Forwarders",NULL,"448-E Regina Building, Escolta St., Binondo, Manila,",NULL,NULL,"1106","Metro Manila",NULL,"Philippines","5180321",NULL,NULL,NULL,NULL
"10855","Vantrans European","Freight Forwarders",NULL,"Unit 12, Croft Avenue, Crossflatts",NULL,NULL,"BD16 2DT","Bingley",NULL,"Yorkshire","07860 405746",NULL,NULL,NULL,NULL
"10856","Seacrest Shipping Co Ltd","Freight Forwarders",NULL,"8-10 Paul Street,",NULL,NULL,"EC2A 4JH",NULL,NULL,"London",NULL,NULL,NULL,NULL,NULL
"10857","Briton International","Freight Forwarders",NULL,"Aft House, 3a Wenman Road",NULL,NULL,"OX93UF","Thame",NULL,"Oxfordshire","7802959734",NULL,NULL,NULL,NULL
"10858","Delamode International","Freight Forwarders",NULL,"2 Elliot Drive, Springwood Industrial Estate",NULL,NULL,"CM7 2GD","Braintree",NULL,"Essex","01376 333000",NULL,NULL,NULL,NULL
"10859","Knight Star Freight","Freight Forwarders",NULL,"Eurohub, Birch Lane Business Park, Stonnall",NULL,NULL,"WS9 0NF","Aldridge",NULL,"West Midlands","+44 (0)1922 745959",NULL,NULL,NULL,NULL
"10860","Made In Europe Express Limited","Freight Forwarders",NULL,"Nelson House, Motherwell Way, West Thurrock",NULL,NULL,"RM20 3XD",NULL,NULL,"Essex","01708-866171",NULL,NULL,NULL,NULL
"10861","Walker Freight Services Limited","Freight Forwarders",NULL,"Unit 1, Meteor Close, Airport Industrial Estate",NULL,NULL,"NR6 6HQ","Norwich",NULL,"Norfolk","+44 1603 407686",NULL,NULL,NULL,NULL
"10862","Clover Shipping Company Limited","Freight Forwarders",NULL,"Tamchester Buildings, Pretoria Road",NULL,NULL,"KT16 9LW","Chertsey",NULL,"Surrey","+44 (0)1932 571460",NULL,NULL,NULL,NULL
"10863","Morrison Freight Ltd.","Freight Forwarders",NULL,"Morrison House, Addison Way, Great Blakenham",NULL,NULL,"IP7 5JB",NULL,NULL,"Suffolk","01473 836560",NULL,NULL,NULL,NULL
"10864","Findlay Freight Solutions","Freight Forwarders",NULL,"Lismore, Seafield Road",NULL,NULL,"EH47 7AG","Blackburn",NULL,"West Lothian","01506 636333",NULL,NULL,NULL,NULL
"10865","Mistrzak","Freight Forwarders",NULL,"Slaska 86/6,",NULL,NULL,"80-395","Gdansk",NULL,"Poland","+48 58 7614381",NULL,NULL,NULL,NULL
"10866","Euro Shipping Sp. z o.o.","Freight Forwarders",NULL,"Hutnicza 3 Str.,",NULL,NULL,"81-212","Gdynia",NULL,"Pomorskie","+48 587330193",NULL,NULL,NULL,NULL
"10867","Rusak Business Services","Freight Forwarders",NULL,"ul.Matuszewska 14,",NULL,NULL,"03-876","Warsaw",NULL,"Mazowieckie","+48 22 606 68 92",NULL,NULL,NULL,NULL
"10868","Euro Logistics Sp. z o.o.","Freight Forwarders",NULL,"Golebia 11,",NULL,NULL,"81-185","Gdynia",NULL,"Pomorskie","+48 58 670 00 50",NULL,NULL,NULL,NULL
"10869","Universal Group Ltd","Freight Forwarders",NULL,"ul.Zurawia 32/34 lokal 60,",NULL,NULL,"515","Warszawa",NULL,"Mazowieckie","+48 691 404 404",NULL,NULL,NULL,NULL
"10870","AB Logis Sp. z o.o.","Freight Forwarders",NULL,"ul. Wisniewskiego 27,",NULL,NULL,"81-156","Gdynia",NULL,"Poland","+4858 6213637",NULL,NULL,NULL,NULL
"10871","Uni-Cargo Sp. z o.o.","Freight Forwarders",NULL,"ul. Rotterdamska 3,",NULL,NULL,"81-337","Gdynia",NULL,NULL,"+48 58660 99 88",NULL,NULL,NULL,NULL
"10872","Trans-Marine sp. z o.o.","Freight Forwarders",NULL,"ul. Dokerów 9,",NULL,NULL,"81-336","Gdynia",NULL,NULL,"+48 58620 09 20",NULL,NULL,NULL,NULL
"10873","Transintra Shipping & Forwarding Sp. z o.o. o/Gdynia","Freight Forwarders",NULL,"ul. Rumunska 1,",NULL,NULL,"81-336","Gdynia",NULL,NULL,"+48 58621 53 63",NULL,NULL,NULL,NULL
"10874","Terramar Spedycja Miedzynarodowa sp. z o.o.","Freight Forwarders",NULL,"ul. Rotterdamska 3,",NULL,NULL,"81-337","Gdynia",NULL,NULL,"+48 58627 48 53",NULL,NULL,NULL,NULL
"10875","Porlogis - Transitos e Logistica, Lda","Freight Forwarders",NULL,"Ruada Telheira,142, Perafita",NULL,NULL,"4455-561","Matosinhos",NULL,NULL,"+351.229.984.320",NULL,NULL,NULL,NULL
"10876","Marmod Transportes Maritimos Intermodais, Lda","Freight Forwarders",NULL,"Edificio Passeio da Boavista, Av.da Boavista, 2121, 3th Floor. Nr. 306 / 307",NULL,NULL,"4100","Porto",NULL,NULL,"+351 22 607 66 90",NULL,NULL,NULL,NULL
"10877","Arnaud Logis S A","Freight Forwarders",NULL,"Ed. 124, Lisboa Airport",NULL,NULL,"1700","Lisbon",NULL,NULL,"+351.21.9489200",NULL,NULL,NULL,NULL
"10878","Arnaud Logis S A","Freight Forwarders",NULL,"Lugar de Carvalhas - Rua da Estrada, Custoias",NULL,NULL,"4460-000","Oporto",NULL,NULL,"+351.22.0004900",NULL,NULL,NULL,NULL
"10879","Transiserve Lda","Freight Forwarders",NULL,"Av. Infante Santo, 23-10ª Esq.,",NULL,NULL,NULL,"Lisboa",NULL,NULL,"351 21 3951000",NULL,NULL,NULL,NULL
"10880","Garland Laidley","Freight Forwarders",NULL,"Tv. Corpo Santo, 10 - 2º,",NULL,NULL,NULL,"Lisbon",NULL,NULL,"+351 21 321 13 20",NULL,NULL,NULL,NULL
"10881","AIR-SEA LOPES - Transitários, Lda","Freight Forwarders",NULL,"Head Office, Rua Da Boa Viagem No. 75, Crestins",NULL,NULL,NULL,"Moreira da Maia",NULL,"Maia","+351 229436650",NULL,NULL,NULL,NULL
"10882","Totalplan Porto Lda.","Freight Forwarders",NULL,"Av Mario Brito, Edificio Freixieiro, 4170 -Sala 101,",NULL,NULL,"4455-491 Perafita","Perafita - Matosinhos",NULL,"Porto","+351229961205",NULL,NULL,NULL,NULL
"10883","Marca - Transitários, SA","Freight Forwarders",NULL,"Trav. Campo Da Telheira,89, Vila Nova da Telha",NULL,NULL,"4470","Maia",NULL,"Portugal","+351229998600",NULL,NULL,NULL,NULL
"10884","Logicargo - Logistica E Transporte, Lda","Freight Forwarders",NULL,"Rua Sebastião Da Gama, Lote 27 - 1º Dt, Outeiro-Polima,",NULL,NULL,"2785-008","S. Domingos De Rana",NULL,"Lisboa","+351 214451570",NULL,NULL,NULL,NULL
"10885","CSI International Inc","Freight Forwarders",NULL,"70 Jansen Ave,",NULL,NULL,"19029","Essington",NULL,"Pennsylvania, PA","+1 610-521-8081",NULL,NULL,NULL,NULL
"10886","M2 Transport","Freight Forwarders",NULL,"46090 Lake Center Plaza, Suite 208",NULL,NULL,"20165","Potomac Falls",NULL,"Virginia, VA","+1 703 430 0545",NULL,NULL,NULL,NULL
"10887","Smooth Shipping","Freight Forwarders",NULL,"305 NW 24th Street,",NULL,NULL,"75050","Grand Prairie",NULL,"Texas, TX","+1 9725220080",NULL,NULL,NULL,NULL
"10888","R. Eurofreight Services LLC","Freight Forwarders",NULL,"6500 NW 72 Ave,",NULL,NULL,"33166","Miami",NULL,"Florida, FL","+1 786 5473486-",NULL,NULL,NULL,NULL
"10889","Blake Enterprises","Freight Forwarders",NULL,"1718 M Street N.W. #262,",NULL,NULL,"20036","Washington, D.C.",NULL,"Virginia, VA","+1 202.882.4414",NULL,NULL,NULL,NULL
"10890","Overseas Forwarding Corp","Freight Forwarders",NULL,"10975 NW 29 Street,",NULL,NULL,"33172","Miami",NULL,"Florida, FL","+1 305-463-7060",NULL,NULL,NULL,NULL
"10891","Air Ocean International Forwarders, Inc","Freight Forwarders",NULL,"7999 NW 81 Place,",NULL,NULL,"33166","Miami",NULL,"Florida, FL","+1 3054630470",NULL,NULL,NULL,NULL
"10892","Frimpex International Co","Freight Forwarders",NULL,"148-36 Guy R. Brewer Blvd, Room 204",NULL,NULL,"11434","Jamaica",NULL,"New York, NY","+1 718 244-7411",NULL,NULL,NULL,NULL
"10893","Transmodal Logistics USA","Freight Forwarders",NULL,"161-15 Rockaway Boulevard, Suite 311",NULL,NULL,"11434","Jamaica",NULL,"New York, NY","+1-888-671-9437",NULL,NULL,NULL,NULL
"10894","Omni Logistics, Inc","Freight Forwarders",NULL,"1065 Texan Trail, Suite 300",NULL,NULL,"76051","Grapevine",NULL,"Texas, TX","+1 817-410-9225",NULL,NULL,NULL,NULL
"10895","Iteris LTD","Freight Forwarders",NULL,"33 Zhukovskogo str. office 902,",NULL,NULL,"65045","Odessa",NULL,"Ukraine","+380487344070",NULL,NULL,NULL,NULL
"10896","Avalon Invest LLC","Freight Forwarders",NULL,"Anri Barbus Str. 11/2,",NULL,NULL,"4211","Kiev",NULL,"Ukraine","+38044 5009525",NULL,NULL,NULL,NULL
"10897","Ukrexporter","Freight Forwarders",NULL,"65026, Odessa Str. Bunina, 10, 7th floor, office 1, natalyberyzova@gmail.com",NULL,NULL,"65026","Odessa",NULL,"Ukraine","+ 38 (63) 44 9 88 23",NULL,NULL,NULL,NULL
"10898","""Conway Group"" LLC","Freight Forwarders",NULL,"Zhelezodorozhnoe Avenue, 21, of.: 213/1,",NULL,NULL,"1024","Kiev",NULL,"Ukraine","+380674811576",NULL,NULL,NULL,NULL
"10899","KST Group Ukraine","Freight Forwarders",NULL,"Pobedy Sq.,67,",NULL,NULL,"3062","Kiev",NULL,"Kiev","+380631264010",NULL,NULL,NULL,NULL
"10900","Zakarpatinterport","Freight Forwarders",NULL,"Bereg str. 95,",NULL,NULL,"89500","Tchop",NULL,"Ukraine","tel./fax: (+380 312) 42-42-22, 42-42-05, 42-42-07",NULL,NULL,NULL,NULL
"10901","Star Shine Shipping LLC","Freight Forwarders",NULL,"http://s-s-s.com.ua, http://star-shine-shipping.com",NULL,NULL,"65000","Odessa",NULL,"Ukraine","+38 048 737-71-22",NULL,NULL,NULL,NULL
"10902","LLC ""International road transport""","Freight Forwarders",NULL,"79014, Ukraine, Lviv, PO Box 457, 79014, Ukraine, Lviv, Zbarazka 4",NULL,NULL,"79014","Lviv",NULL,"Ukraine","+380665351722",NULL,NULL,NULL,NULL
"10903","Dolphin Group LLC","Freight Forwarders",NULL,"4,DANCHENKO STR.,FLAT 18,",NULL,NULL,"68003","Odessa",NULL,"Odesska Oblast","+38 (048) 701 96 81",NULL,NULL,NULL,NULL
"10904","I-CARGO LTD","Freight Forwarders",NULL,"Marinesku str, 6, office 2,",NULL,NULL,"65035","Odessa",NULL,"Odeska","+380-48-7378554",NULL,NULL,NULL,NULL
"10905","Anansie Services","Freight Forwarders",NULL,"Mihai Spataru 24,",NULL,NULL,"23667","Bucharest",NULL,NULL,"+40722635184",NULL,NULL,NULL,NULL
"10906","Geniuss Trans Maritime S.R.L.","Freight Forwarders",NULL,"Mircea 61, Constanta port gate no 2",NULL,NULL,"900658","Constantza",NULL,NULL,"+40-241-480430",NULL,NULL,NULL,NULL
"10907","Logikair Cargo Ltd","Freight Forwarders",NULL,"Henri Coanda International Airport,",NULL,NULL,"7000","Otopeni",NULL,"Ilfov","+40723332396",NULL,NULL,NULL,NULL
"10908","Dacoma Car","Freight Forwarders",NULL,"str. Regiment 11 siret 39, Bloc C24/7",NULL,NULL,"800312",NULL,NULL,"Galati","+4 0752 109 018",NULL,NULL,NULL,NULL
"10909","Euromond Cargo Ltd. srl","Freight Forwarders",NULL,"Str. Cozla 3, Bl. B1A, Ap. 3 , Sector 3",NULL,NULL,"7000","Bucuresti",NULL,NULL,"+40728093797",NULL,NULL,NULL,NULL
"10910","Maurice Ward & Co Srl.","Freight Forwarders",NULL,"3 Andrei Saguna Street, Block U5",NULL,NULL,NULL,"Timisoara",NULL,NULL,"+ 40 256 223327",NULL,NULL,NULL,NULL
"10911","Continental Logistics","Freight Forwarders",NULL,"""Henri Coanda"" Int'l Airport, 11 C Aurel Vlaicu St., Terminal ""D"", 1st Floor, Room no. 1 , Otopeni, Ilfov",NULL,NULL,"75100","Ilada",NULL,"Bucuresti","+40 21 352 7934",NULL,NULL,NULL,NULL
"10912","Elitte Logistic Services","Freight Forwarders",NULL,"Henri Coanda Intl. Airport,",NULL,NULL,NULL,"Otopenii de Jos",NULL,"Bucuresti","+404212014920",NULL,NULL,NULL,NULL
"10913","Mainrom Line S.R.L","Freight Forwarders",NULL,"Sitraco Center, Splaiul Unirii nr. 4 Bloc B3",NULL,NULL,"99999","Bucuresti",NULL,NULL,"+40-21-312-0133",NULL,NULL,NULL,NULL
"10914","Seafarers Shipping","Freight Forwarders",NULL,"Varful cu Dor Street, 1,",NULL,NULL,"900076","Constanta",NULL,NULL,"+40 721 064 218",NULL,NULL,NULL,NULL
"10915","Federal Logistics","Freight Forwarders",NULL,"195/5A, Prabhu Complex, Ettayapuram Road",NULL,NULL,"628002","Tuticorin",NULL,"Tamilnadu","9.14612E+11",NULL,NULL,NULL,NULL
"10916","INDIA SHIPPING & LOGISTICS","Freight Forwarders",NULL,"I-368 Beta 2,",NULL,NULL,"110010","Greather Noida",NULL,"Uttar Pradesh","+919878000334",NULL,NULL,NULL,NULL
"10917","SR CARGO INDIA PRIVATE LTD","Freight Forwarders",NULL,"29/61,SECOND FLOOR, MOORE STREET",NULL,NULL,"600001","CHENNAI",NULL,"Tamil Nadu","+91 044 42159974",NULL,NULL,NULL,NULL
"10918","Grandeur International Logistics","Freight Forwarders",NULL,"506A, Commercial Manor, 5th Floor, 4th Clive Road, Masjid (East)",NULL,NULL,"400009","Mumbai",NULL,"Maharashtra","+919833174620",NULL,NULL,NULL,NULL
"10919","CTOC Haulwell Shipping Pvt. Ltd","Freight Forwarders",NULL,"DB Khona Building, 2nd Floor, Subramaniam Road, W/Island",NULL,NULL,"682003","Cochin",NULL,"Kerala","+914842668353",NULL,NULL,NULL,NULL
